Sl. No.,State,District,ODOP
1,HRA PRADESH,Ananthapur,Groundnut 
2,HRA PRADESH,Chittoor,Tomato  
3,HRA PRADESH,East Godavari,Coconut 
4,HRA PRADESH,Guntur, Chilli Turmeric
5,HRA PRADESH,Kadapa,Banana  
6,HRA PRADESH,Krishna,Mango  
7,HRA PRADESH,Kurnool,Onion  
8,HRA PRADESH,Nellore,Citrus  
9,HRA PRADESH,Prakasam, Chilli Turmeric
10,HRA PRADESH,Srikakulam,Cashewnut  
11,HRA PRADESH,Vishakhapatnam,Sugarcane 
12,HRA PRADESH,Vizianagaram,Mango  
13,HRA PRADESH,West Godavari,Fish  Marine  
14,AMAN  NICOBAR ISL,South aman,Marine  Fish 
15,AMAN  NICOBAR ISL,Nicobar,Coconut  
16,AMAN  NICOBAR ISL,Middle  North aman,Coconut  
17,ARUNACHAL PRADESH,Changlang,Arecanut
18,ARUNACHAL PRADESH,East Kameng,Orange  
19,ARUNACHAL PRADESH,Kamle,Orange  
20,ARUNACHAL PRADESH,Kra Dadi,Large Cardamom
21,ARUNACHAL PRADESH,Kurung Kumey,Large Cardamom
22,ARUNACHAL PRADESH,Leparada,Pickle
23,ARUNACHAL PRADESH,Lohit,Sesamum  
24,ARUNACHAL PRADESH,Longding,Ginger  
25,ARUNACHAL PRADESH,Lower Dibang Valley,Ginger  
26,ARUNACHAL PRADESH,Lower Subansiri,Kiwi  
27,ARUNACHAL PRADESH,Namsai,Turmeric
28,ARUNACHAL PRADESH,Papum PareYupia,Turmeric
29,ARUNACHAL PRADESH,Siang,Large Cardamom
30,ARUNACHAL PRADESH,Tawang,Walnut
31,ARUNACHAL PRADESH,Tirap,Millet  
32,ARUNACHAL PRADESH,Upper Siang,Orange  
33,ARUNACHAL PRADESH,Upper Subansiri,Orange  
34,ARUNACHAL PRADESH,East Siang,Jaggery
35,ARUNACHAL PRADESH,West Siang,Pineapple  
36,ARUNACHAL PRADESH,West Kameng,Apple  
37,ARUNACHAL PRADESH,Anjaw,Large Cardamom
38,ARUNACHAL PRADESH,Shi Yomi,Kiwi  
39,ARUNACHAL PRADESH,Papum Pare Capital Complex,Turmeric
40,ARUNACHAL PRADESH,Dibang Valley,Kiwi  
41,ARUNACHAL PRADESH,Pakke Kassang,Ginger  
42,ARUNACHAL PRADESH,Lower Siang,Turmeric
43,ASSAM,Baksa,Honey
44,ASSAM,Barpeta,Milk  
45,ASSAM,Biswanath Charali,Potato  
46,ASSAM,Bongaigaon,Turmeric
47,ASSAM,Cachar,Pineapple  
